Pacote,Concrete Type,Call Method Name,Field Name,Metodo,Line Code,Class,Ocorrencias,Into Loop,Loops Info,Inside Recursive Method
java/util/List,Ljava/util/List,getAsString,elements,size,223,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,getAsString,elements,randomGet,224,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,getAsDouble,elements,size,239,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,getAsDouble,elements,randomGet,240,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,getAsBigDecimal,elements,size,256,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,getAsBigDecimal,elements,randomGet,257,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,getAsBigInteger,elements,size,273,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,getAsBigInteger,elements,randomGet,274,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,getAsFloat,elements,size,289,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,getAsFloat,elements,randomGet,290,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,getAsLong,elements,size,305,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,getAsLong,elements,randomGet,306,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,getAsInt,elements,size,321,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,getAsInt,elements,randomGet,322,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,getAsByte,elements,size,329,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,getAsByte,elements,randomGet,330,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,getAsCharacter,elements,size,337,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,getAsCharacter,elements,randomGet,338,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,getAsShort,elements,size,353,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,getAsShort,elements,randomGet,354,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,getAsBoolean,elements,size,369,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,getAsBoolean,elements,randomGet,370,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,equals,elements,equals,377,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,hashCode,elements,hashCode,382,Lcom/google/gson/JsonArray>,1,false,,false
